"TILE_NAME","total.area","cover"
"NG82",22979631.9985391,0.229796319985391
"NG83",34146274.8010712,0.341462748010712
"NG84",12462345.3372973,0.124623453372973
"NG85",12795258.064303,0.12795258064303
"NG86",5609941.91558397,0.0560994191558397
"NG87",49663971.12476,0.4966397112476
"NG88",5348248.59600594,0.0534824859600594
"NG89",4418397.32255818,0.0441839732255818
"NG90",3442918.436008,0.03442918436008
"NG91",8267091.21472991,0.0826709121472991
"NG92",9696746.63806676,0.0969674663806677
"NG93",9492982.19175334,0.0949298219175334
"NG94",9962446.37869059,0.099624463786906
"NG95",2803719.40137557,0.0280371940137557
"NG96",2309062.90982204,0.0230906290982204
"NG97",4436692.77788817,0.0443669277788817
"NG98",1300060.2148368,0.013000602148368
"NG99",2104662.94211267,0.0210466294211267
"NH00",4450629.72476392,0.0445062972476392
"NH01",5854845.69375204,0.0585484569375204
"NH02",2045230.24226495,0.0204523024226495
"NH03",83897.2003232655,0.000838972003232655
"NH04",10566185.3068833,0.105661853068833
"NH05",17546840.7740495,0.175468407740495
"NH06",7046087.86449215,0.0704608786449215
"NH07",140006.979930885,0.00140006979930885
"NH08",361023.141002673,0.00361023141002673
"NH09",1586990.39488656,0.0158699039488656
"NH10",26560934.6441607,0.265609346441607
"NH11",7945342.98123444,0.0794534298123444
"NH12",7752523.7540649,0.077525237540649
"NH13",1587018.33977859,0.0158701833977859
"NH14",297601.746853998,0.00297601746853998
"NH15",10051659.938669,0.10051659938669
"NH16",2936815.18743561,0.0293681518743561
"NH17",3942363.43938755,0.0394236343938755
"NH18",14540825.3654127,0.145408253654127
"NH19",11809425.6945423,0.118094256945423
"NH20",32854894.5404944,0.328548945404944
"NH21",29368082.5227661,0.293680825227661
"NH22",50503118.1789472,0.505031181789472
"NH23",11019158.0826666,0.110191580826666
"NH24",934744.40792032,0.0093474440792032
"NH25",10508476.6056497,0.105084766056497
"NH26",12041420.4034691,0.120414204034691
"NH27",4440424.77932055,0.0444042477932055
"NH28",1721294.25891973,0.0172129425891973
"NH29",1233714.10707525,0.0123371410707525
"NH30",37443119.0713365,0.374431190713365
"NH31",39199691.122799,0.39199691122799
"NH32",28087336.8995649,0.280873368995649
"NH33",31227831.6566051,0.312278316566051
"NH34",3575686.25466906,0.0357568625466906
"NH35",14995517.8933332,0.149955178933332
"NH36",32680674.5628068,0.326806745628068
"NH37",15271128.4498746,0.152711284498746
"NH38",1692278.90672483,0.0169227890672482
"NH39",14778301.6169773,0.147783016169773
"NH40",3016168.60500428,0.0301616860500428
"NH41",42033413.8505791,0.420334138505791
"NH42",28491969.0260748,0.284919690260748
"NH43",39214512.3502396,0.392145123502396
"NH44",29909015.5862641,0.299090155862641
"NH45",37374185.0607609,0.373741850607609
"NH46",35878814.3803649,0.358788143803649
"NH47",5139353.00032894,0.0513935300032895
"NH48",13690038.8399835,0.136900388399835
"NH49",37630524.1635215,0.376305241635215
"NH50",774025.856031221,0.00774025856031221
"NH51",9456932.96065823,0.0945693296065823
"NH52",35852337.8298601,0.358523378298601
"NH53",41759151.1394236,0.417591511394236
"NH54",30997108.674925,0.30997108674925
"NH55",21250239.1245446,0.212502391245446
"NH56",37155801.0348754,0.371558010348754
"NH57",33994025.4548975,0.339940254548975
"NH58",13901426.5650692,0.139014265650692
"NH59",42483400.9911873,0.424834009911873
"NH60",348101.403619246,0.00348101403619246
"NH61",992346.804542118,0.00992346804542118
"NH62",15624794.479463,0.15624794479463
"NH63",46314051.5237469,0.463140515237469
"NH64",23786692.3510973,0.237866923510973
"NH65",38877888.0596619,0.388778880596619
"NH66",25933308.4914124,0.259333084914124
"NH67",46927612.765651,0.46927612765651
"NH68",24511303.2195693,0.245113032195693
"NH69",25037483.0634151,0.250374830634151
